batting_team_enc,bowling_team_enc,venue_enc,over_num,cum_runs,cum_wickets,target,runs_required,balls_remaining,wickets_in_hand,crr,rrr,rrr_crr_delta,batting_team_won,match_id,batting_team,bowling_team,venue
3,1,42,8,83,1,143,60,72,9,10.375,5.0,-5.375,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
3,1,42,9,95,1,143,48,66,9,10.555555555555555,4.363636363636363,-6.191919191919192,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
3,1,42,10,100,1,143,43,60,9,10.0,4.3,-5.7,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
3,1,42,11,112,1,143,31,54,9,10.181818181818182,3.4444444444444446,-6.737373737373737,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
3,1,42,12,142,1,143,1,48,9,11.833333333333334,0.125,-11.708333333333334,0,335988,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
10,0,27,0,9,1,209,200,120,9,inf,10.0,-inf,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,1,13,1,209,196,114,9,13.0,10.31578947368421,-2.6842105263157894,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,2,25,1,209,184,108,9,12.5,10.222222222222221,-2.2777777777777786,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,3,31,2,209,178,102,8,10.333333333333334,10.470588235294118,0.13725490196078383,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,4,50,2,209,159,96,8,12.5,9.9375,-2.5625,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,5,52,2,209,157,90,8,10.4,10.466666666666667,0.06666666666666643,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,6,57,2,209,152,84,8,9.5,10.857142857142858,1.3571428571428577,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,7,68,2,209,141,78,8,9.714285714285714,10.846153846153847,1.1318681318681332,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,8,75,2,209,134,72,8,9.375,11.166666666666666,1.791666666666666,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,9,83,3,209,126,66,7,9.222222222222221,11.454545454545455,2.2323232323232336,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,10,90,3,209,119,60,7,9.0,11.9,2.9000000000000004,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,11,99,4,209,110,54,6,9.0,12.222222222222221,3.2222222222222214,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,12,110,4,209,99,48,6,9.166666666666666,12.375,3.208333333333334,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,13,130,4,209,79,42,6,10.0,11.285714285714286,1.2857142857142865,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,14,134,5,209,75,36,5,9.571428571428571,12.5,2.928571428571429,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,15,147,6,209,62,30,4,9.8,12.4,2.5999999999999996,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,16,168,6,209,41,24,4,10.5,10.25,-0.25,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,17,181,6,209,28,18,4,10.647058823529411,9.333333333333334,-1.3137254901960773,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,18,190,7,209,19,12,3,10.555555555555555,9.5,-1.0555555555555554,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
10,0,27,19,202,7,209,7,6,3,10.631578947368421,7.0,-3.6315789473684212,0,335989,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
13,1,42,0,5,0,215,210,120,10,inf,10.5,-inf,1,335990,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
13,1,42,1,14,0,215,201,114,10,14.0,10.578947368421053,-3.421052631578947,1,335990,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
13,1,42,2,19,1,215,196,108,9,9.5,10.88888888888889,1.3888888888888893,1,335990,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
13,1,42,3,35,1,215,180,102,9,11.666666666666666,10.588235294117647,-1.0784313725490193,1,335990,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
13,1,42,4,57,1,215,158,96,9,14.25,9.875,-4.375,1,335990,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
